schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00258903,University of New Hampshire,2024,2023,160,39,121,0.2438,0,0,0.2438,30,3,140,97,,0.6929,0.7401,-0.0472,11,0.7152,2021,84,5,2,77,70,0.9091,0,0.9091
00262900,Rutgers University,2024,2023,403,43,356,0.1067,4,0.0099,0.1166,35,1,391,262,,0.6701,0.7005,-0.0304,0,0.6701,2021,380,3,23,354,282,0.7966,0,0.7966
00263201,Seton Hall University,2024,2023,241,12,227,0.0498,2,0.0083,0.0581,15,0,242,199,,0.8223,0.7027,0.1196,0,0.8223,2021,221,6,6,209,188,0.8995,0,0.8995
00266300,University of New Mexico,2024,2023,101,21,78,0.2079,2,0.0198,0.2277,16,0,94,77,,0.8191,0.814,0.0051,0,0.8191,2021,100,0,2,98,91,0.9286,0,0.9286
00267700,Brooklyn Law School,2024,2023,376,14,361,0.0372,1,0.0027,0.0399,12,5,373,294,,0.7882,0.8242,-0.036,0,0.7882,2021,355,6,3,346,311,0.8988,0,0.8988
00270711,Columbia University,2024,2023,426,14,409,0.0329,3,0.007,0.0399,10,12,419,400,,0.9547,0.8163,0.1384,0,0.9547,2021,462,6,6,450,435,0.9667,0,0.9667
00271101,Cornell University,2024,2023,175,6,167,0.0343,2,0.0114,0.0457,8,11,175,166,,0.9486,0.8158,0.1328,0,0.9486,2021,194,2,2,190,179,0.9421,0,0.9421
00272203,Fordham University,2024,2023,412,15,397,0.0364,0,0,0.0364,12,11,409,359,,0.8778,0.824,0.0538,0,0.8778,2021,404,0,9,395,388,0.9823,0,0.9823
00273200,Hofstra University,2024,2023,260,7,253,0.0269,0,0,0.0269,9,11,262,200,,0.7634,0.8242,-0.0608,0,0.7634,2021,267,5,0,262,223,0.8511,0,0.8511
00278300,New York Law School,2024,2023,288,0,275,0,13,0.0451,0.0451,22,11,297,210,,0.7071,0.8161,-0.109,0,0.7071,2021,310,0,10,300,263,0.8767,0,0.8767
00278500,New York University,2024,2023,443,16,427,0.0361,0,0,0.0361,11,12,438,423,,0.9658,0.8151,0.1507,0,0.9658,2021,464,6,0,458,455,0.9934,0,0.9934
00279102,Pace University,2024,2023,248,24,224,0.0968,0,0,0.0968,17,17,241,157,,0.6515,0.8059,-0.1544,0,0.6515,2021,209,7,0,202,176,0.8713,0,0.8713
00282300,"St. John's University",2024,2023,247,6,240,0.0243,1,0.004,0.0283,8,2,248,216,,0.871,0.8259,0.0451,0,0.871,2021,236,6,1,229,223,0.9738,0,0.9738
00283700,University of Buffalo-SUNY,2024,2023,157,11,144,0.0701,2,0.0127,0.0828,9,8,153,124,,0.8105,0.8213,-0.0108,0,0.8105,2021,138,3,0,135,117,0.8667,0,0.8667
00288200,Syracuse University,2024,2023,183,36,145,0.1967,2,0.0109,0.2077,36,4,181,135,,0.7459,0.802,-0.0561,0,0.7459,2021,173,6,1,166,150,0.9036,0,0.9036
00288600,Albany Law School of Union University,2024,2023,182,45,135,0.2473,2,0.011,0.2582,21,7,156,128,,0.8205,0.8217,-0.0012,0,0.8205,2021,158,2,3,153,138,0.902,0,0.902
00290301,Cardozo School of Law,2024,2023,319,9,303,0.0282,7,0.0219,0.0502,13,12,316,265,,0.8386,0.8229,0.0157,0,0.8386,2021,324,11,3,310,283,0.9129,0,0.9129
00291300,Campbell University,2024,2023,161,24,137,0.1491,0,0,0.1491,1,3,138,113,,0.8188,0.7404,0.0784,0,0.8188,2021,157,0,0,157,150,0.9554,0,0.9554
00292002,Duke University,2024,2023,237,6,230,0.0253,1,0.0042,0.0295,4,2,234,221,,0.9444,0.7932,0.1512,0,0.9444,2021,245,6,0,239,237,0.9916,0,0.9916
00292701,Elon University,2024,2023,140,140,0,1,0,0,1,123,0,123,73,,0.5935,0.7465,-0.153,0,0.5935,2021,127,0,5,122,94,0.7705,0,0.7705
00295000,North Carolina Central University,2024,2023,129,14,112,0.1085,3,0.0233,0.1318,17,0,129,73,,0.5659,0.7501,-0.1842,0,0.5659,2021,89,0,0,89,78,0.8764,0,0.8764
00297400,University of North Carolina,2024,2023,187,10,173,0.0535,4,0.0214,0.0749,2,0,175,161,,0.92,0.7548,0.1652,0,0.92,2021,206,11,1,194,183,0.9433,0,0.9433
00297805,Wake Forest University,2024,2023,91,4,84,0.044,3,0.033,0.0769,8,1,92,85,,0.9239,0.7543,0.1696,0,0.9239,2021,174,7,3,164,159,0.9695,0,0.9695
00300500,University of North Dakota,2024,2023,58,21,37,0.3621,0,0,0.3621,19,0,56,34,,0.6071,0.7201,-0.113,0,0.6071,2021,60,3,0,57,52,0.9123,0,0.9123
00302302,Capital University,2024,2023,126,4,122,0.0317,0,0,0.0317,11,1,133,103,,0.7744,0.7687,0.0057,0,0.7744,2021,124,7,2,115,106,0.9217,0,0.9217
00302400,Case Western Reserve University,2024,2023,120,17,103,0.1417,0,0,0.1417,4,1,107,78,,0.729,0.7671,-0.0381,0,0.729,2021,153,14,0,139,109,0.7842,0,0.7842
00303200,Cleveland State University,2024,2023,122,20,102,0.1639,0,0,0.1639,14,0,116,77,,0.6638,0.7713,-0.1075,0,0.6638,2021,124,8,0,116,106,0.9138,0,0.9138
00308900,Ohio Northern University,2024,2023,52,1,51,0.0192,0,0,0.0192,2,0,53,27,,0.5094,0.7531,-0.2437,0,0.5094,2021,41,4,1,36,30,0.8333,0,0.8333
