schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00374900,George Mason University,2024,2023,252,161,90,1,0,46,55,37,17,1,0,11,197,124,73,0,0,35,15,9,6,,,
00376800,Washington and Lee University,2024,2023,96,62,34,0,0,17,38,19,19,0,0,9,58,43,15,0,0,8,6,5,1,,,
00377800,Gonzaga University,2024,2023,77,38,39,0,0,17,31,16,15,0,0,11,46,22,24,0,0,6,5,5,0,,,
00379001,Seattle University,2024,2023,169,93,76,0,0,49,66,29,37,0,0,21,103,64,39,0,0,28,5,5,0,,,
00379800,University of Washington,2024,2023,157,86,71,0,0,24,50,23,27,0,0,12,107,63,44,0,0,12,8,8,0,,,
00382700,West Virginia University,2024,2023,64,33,31,0,0,5,33,16,17,0,0,3,31,17,14,0,0,2,4,4,0,,,
00386300,Marquette University,2024,2023,123,68,55,0,0,7,36,20,16,0,0,3,87,48,39,0,0,4,7,5,2,,,
00389500,University of Wisconsin,2024,2023,155,83,71,0,0,28,73,33,40,0,0,20,81,50,31,0,0,8,12,11,1,,,
00393200,University of Wyoming,2024,2023,41,20,20,1,0,8,24,13,10,1,0,4,17,7,10,0,0,4,4,4,0,,,
00393600,Pontifical Catholic University of P.R.,2024,2023,69,44,25,0,0,69,34,21,13,0,0,34,35,23,12,0,0,35,4,4,0,,,
00394200,University of Puerto Rico,2024,2023,110,64,46,0,0,106,28,20,8,0,0,27,82,44,38,0,0,79,6,6,0,,,
00394700,"UC College of the Law, San Francisco",2024,2023,281,155,125,0,1,72,63,30,33,0,0,15,218,125,92,0,1,57,10,10,0,,,
00396900,University of Minnesota,2024,2023,313,174,139,0,0,48,62,35,27,0,0,11,251,139,112,0,0,37,18,15,3,,,
00425090,Inter American University of Puerto Rico,2024,2023,110,71,39,0,0,107,26,16,10,0,0,26,84,55,29,0,0,81,8,5,3,,,
00497700,South Texas College of Law,2024,2023,136,81,55,0,0,30,63,34,29,0,0,16,73,47,26,0,0,14,5,5,0,,,
00891600,New England Law | Boston,2024,2023,152,89,63,0,0,22,32,17,15,0,0,6,120,72,48,0,0,16,4,4,0,,,
00927500,Northern Kentucky University,2024,2023,65,40,25,0,0,9,24,16,8,0,0,6,41,24,17,0,0,3,2,2,0,,,
00963500,Florida International University,2024,2023,115,72,43,0,0,55,44,22,22,0,0,21,71,50,21,0,0,34,8,5,3,,,
01014205,Touro University,2024,2023,101,47,53,0,1,23,35,14,21,0,0,7,66,33,32,0,1,16,5,5,0,,,
01014913,Pepperdine University,2024,2023,150,86,59,0,0,33,47,28,19,0,0,11,98,58,40,0,0,22,5,5,0,,,
01039501,University of San Diego,2024,2023,157,84,64,0,9,24,54,31,23,0,0,8,103,53,41,0,9,16,8,8,0,,,
01164901,Loyola Marymount University-Los Angeles,2024,2023,208,108,100,0,0,52,76,31,45,0,0,20,132,77,55,0,0,32,9,9,0,,,
01193400,Vermont Law School,2024,2023,156,63,89,1,3,26,57,21,35,1,0,9,99,42,54,0,3,17,5,4,1,,,
01262700,Thomas M. Cooley Law School,2024,2023,99,61,38,0,0,25,30,15,15,0,0,9,69,46,23,0,0,16,8,6,2,,,
01310300,California Western School of Law,2024,2023,106,51,55,0,0,25,36,19,17,0,0,8,70,32,38,0,0,17,7,7,0,,,
02053000,Liberty University,2024,2023,44,31,13,0,0,9,25,19,6,0,0,7,19,12,7,0,0,2,2,2,0,,,
02179937,Western State College of Law,2024,2023,59,33,26,0,0,16,21,7,14,0,0,5,38,26,12,0,0,11,4,3,1,,,
03091300,Regent University,2024,2023,56,42,14,0,0,13,21,14,7,0,0,6,35,28,7,0,0,7,3,3,0,,,
03173300,"Atlanta's John Marshall Law School",2024,2023,37,16,21,0,0,13,24,10,14,0,0,6,13,6,7,0,0,7,6,3,3,,,
03191300,City University of New York,2024,2023,107,34,73,0,0,57,73,23,50,0,0,39,34,11,23,0,0,18,7,7,0,,,
03559300,Appalachian School of Law,2024,2023,24,15,9,0,0,2,17,10,7,0,0,1,7,5,2,0,0,1,2,1,1,,,
03691400,Ave Maria School of Law,2024,2023,42,25,17,0,0,3,28,15,13,0,0,2,14,10,4,0,0,1,5,4,1,,,
04096300,Charleston School of Law,2024,2023,71,36,35,0,0,10,27,10,17,0,0,5,44,26,18,0,0,5,4,4,0,,,
04242101,UNT Dallas College Of Law,2024,2023,50,21,29,0,0,10,29,11,18,0,0,7,21,10,11,0,0,3,4,4,0,,,
